Experiment,Sum of M1 and M2,M1,M2,Middleware,Server,Threads,,,,,,
1,7730.26,7730.26,,1,1,8,,,,,,
,7557.61,7557.61,,,,,,,,,,
,7773.89,7773.89,,,,,,,,,,
2,10852.88,10852.88,,1,1,32,,,,,,
,10368.46,10368.46,,,,,,,,,,
,10979.03,10979.03,,,,,,,,,,
3,4671.74,4671.74,,1,3,8,,,,,,
,4725.05,4725.05,,,,,,,,,,
,4644.23,4644.23,,,,,,,,,,
4,7630.62,7630.62,,1,3,32,,,,,,
,6678.76,6678.76,,,,,,,,,,
,7194.05,7194.05,,,,,,,,,,
5,9011.8,4960.54,4051.26,2,1,8,,,,,,
,8981.35,4914.87,4066.48,,,,,,,,,
,9204.31,4995.49,4208.82,,,,,,,,,
6,13201.22,6916.97,6284.25,2,1,32,,,,,,
,12695.75,6653.73,6042.02,,,,,,,,,
,13057.67,6923.41,6134.26,,,,,,,,,
7,6678.17,3621.87,3056.3,2,3,8,,,,,,
,7053.97,3621.87,3432.1,,,,,,,,,
,7925.38,4058.18,3867.2,,,,,,,,,
8,11243.87,5872.87,5371,2,3,32,,,,,,
,11480.86,5979.48,5501.38,,,,,,,,,
,11498.36,5876.64,5621.72,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Write-Only,Throughput avg,Measured responses,,,,,,,,,,
Exp,ymean,y1,y2,y3,,,,,,,,
1,7687.2533333333,7730.26,7557.61,7773.89,,,,,,,,
2,10733.4566666667,10852.88,10368.46,10979.03,,,,,,,,
3,4680.34,4671.74,4725.05,4644.23,,,,,,,,
4,7167.81,7630.62,6678.76,7194.05,,,,,,,,
5,9065.82,9011.8,8981.35,9204.31,,,,,,,,
6,12984.88,13201.22,12695.75,13057.67,,,,,,,,
7,7219.1733333333,6678.17,7053.97,7925.38,,,,,,,,
8,11407.6966666667,11243.87,11480.86,11498.36,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Write-Only,Effect,,,,,,,,Throughput avg,,,
Exp,q0,qa,qb,qc,qaqb,qaqc,qbqc,qaqbqc,ymean,,,
1,1,-1,-1,-1,1,1,1,-1,7687.2533333333,,,
2,1,-1,-1,1,1,-1,-1,1,10733.4566666667,,,
3,1,1,-1,-1,-1,-1,1,1,4680.34,,,
4,1,1,-1,1,-1,1,-1,-1,7167.81,,,
5,1,-1,1,-1,-1,1,-1,1,9065.82,,,
6,1,-1,1,1,-1,-1,1,-1,12984.88,,,
7,1,1,1,-1,1,-1,-1,-1,7219.1733333333,,,
8,1,1,1,1,1,1,1,1,11407.6966666667,,,
Total,70946.4300000001,-9996.39,10408.71,13641.2566666667,3148.7300000001,-289.27,2573.91,828.1966666667,,,,
Total / 8,8868.30375,-1249.54875,1301.08875,1705.1570833334,393.59125,-36.15875,321.73875,103.5245833333,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Write-Only,Measured responses,,,Estimated response,Errors,,,,,,,
Exp,y1,y2,y3,ŷ,e1,e2,e3,,,Squared Errors,,
1,7730.26,7557.61,7773.89,7687.2533333333,43.0066666667,-129.6433333333,86.6366666667,,,1849.5733777778,16807.3938777778,7505.9120111112
2,10852.88,10368.46,10979.03,10733.4566666667,119.4233333333,-364.9966666667,245.5733333333,,,14261.9325444446,133222.566677777,60306.2620444455
3,4671.74,4725.05,4644.23,4680.34,-8.6,44.71,-36.11,,,73.96,1998.9841000001,1303.9321
4,7630.62,6678.76,7194.05,7167.81,462.81,-489.05,26.24,,,214193.0961,239169.902499999,688.5376
5,9011.8,8981.35,9204.31,9065.82,-54.02,-84.47,138.49,,,2918.1603999997,7135.1808999993,19179.4801000009
6,13201.22,12695.75,13057.67,12984.88,216.34,-289.13,72.79,,,46802.9956000001,83596.1569000006,5298.3840999999
7,6678.17,7053.97,7925.38,7219.1733333333,-541.0033333333,-165.2033333333,706.2066666667,,,292684.606677776,27292.141344444,498727.856044446
8,11243.87,11480.86,11498.36,11407.6966666667,-163.8266666667,73.1633333333,90.6633333333,,,26839.1767111103,5352.8733444451,8219.8400111119
,,,,,,,,,SSE = ,1715428.90506667,,
,,,,,,,,,,,,
,Write-Only,factor values,,,,,,,Estimated response,Errors,,
,Exp,xa,xb,xc,xaxb,xaxc,xbxc,xaxbxc,ŷ,e1,e2,e3
,1,-1,-1,-1,1,1,1,-1,7687.2533333333,43.0066666667,-129.6433333333,86.6366666667
,2,-1,-1,1,1,-1,-1,1,10733.4566666667,119.4233333333,-364.9966666667,245.5733333333
,3,1,-1,-1,-1,-1,1,1,4680.34,-8.6,44.71,-36.11
,4,1,-1,1,-1,1,-1,-1,7167.81,462.81,-489.05,26.24
,5,-1,1,-1,-1,1,-1,1,9065.82,-54.02,-84.47,138.49
,6,-1,1,1,-1,-1,1,-1,12984.88,216.34,-289.13,72.79
,7,1,1,-1,1,-1,-1,-1,7219.1733333333,-541.0033333333,-165.2033333333,706.2066666667
,8,1,1,1,1,1,1,1,11407.6966666667,-163.8266666667,73.1633333333,90.6633333333
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Parameter,Mean Estimate,Variation Explained,,%,,,,,,,,
qo,8868.30375,------,,,,,,,,,,
qa,-1249.54875,0.2400745942,,24.0074594162,,,,,,,,
qb,1301.08875,0.2602876953,,26.0287695312,,,,,,,,
qc,1705.1570833333,0.4470628491,,44.7062849099,,,,,,,,
qab,393.59125,0.0238193916,,2.3819391606,,,,,,,,
qac,-36.15875,0.0002010327,,0.0201032657,,,,,,,,
qbc,321.73875,0.0159164619,,1.5916461935,,,,,,,,
qabc,103.5245833333,0.0016478845,,0.1647884531,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Parameter^2,,,,,,,,,,,
Sso,1887523473.65434,,,(2^3)*3 =,24,,,,,,,
Ssa,37472929.8870375,,,,,,,,,,,
SSB,40627966.4490375,,,,,,,,,,,
SSC,69781456.2922041,,,SST = ,156088694.090562,,,,,,,
Ssab,3717937.72983749,,,,,,,,,,,
Ssac,31378.9248374993,,,,,,,,,,,
Ssbc,2484379.7580375,,,,,,,,,,,
Ssabc,257216.144504164,,,,,,,,,,,
